niche,total,no_website,no_website_pct,warm_leads,with_phone,avg_outreach_score
(uncategorized),3009,562,18.7,510,2825,46.9
beauty_salon,731,264,36.1,279,711,80.8
winery,1873,371,19.8,240,1646,65.3
automotive_repair,644,150,23.3,161,639,78.6
real_estate_agent,1678,169,10.1,161,1659,75.5
farm,373,173,46.4,125,303,53.8
hair_salon,559,107,19.1,124,551,76.5
restaurant,494,136,27.5,110,455,69.3
barber,218,94,43.1,104,215,83.4
mexican_restaurant,439,97,22.1,101,431,74.9
professional_services,476,98,20.6,88,441,54.9
nail_salon,323,69,21.4,83,322,78.6
grocery_store,246,84,34.1,78,233,58.5
beauty_and_spa,152,69,45.4,72,133,76.5
day_care_preschool,137,73,53.3,67,123,78.8
gym,423,81,19.1,67,389,69.6
liquor_store,198,65,32.8,65,188,57.8
contractor,488,62,12.7,61,485,74.9
retirement_home,201,60,29.9,60,198,79.2
home_service,220,49,22.3,54,216,59.6
dentist,438,54,12.3,53,434,74.4
flowers_and_gifts_shop,266,53,19.9,52,254,75.6
gas_station,215,55,25.6,52,206,52.7
clothing_store,261,55,21.1,51,241,69.7
hotel,310,71,22.9,49,273,66.6
massage,181,32,17.7,49,181,78.1
cafe,228,52,22.8,48,215,72.0
tattoo_and_piercing,134,51,38.1,48,127,79.6
automotive,122,48,39.3,47,117,75.1
hvac_services,196,45,23.0,47,196,75.2
doctor,520,50,9.6,47,502,47.4
coffee_shop,242,46,19.0,44,220,68.4
apartments,203,44,21.7,44,198,50.2
convenience_store,126,47,37.3,43,121,56.6
event_planning,218,64,29.4,40,182,66.2
chiropractor,196,38,19.4,40,196,76.6
real_estate,315,57,18.1,39,292,54.3
tobacco_shop,71,33,46.5,37,70,65.8
antique_store,146,38,26.0,36,140,74.9
bar,172,58,33.7,36,139,61.3
pet_groomer,94,33,35.1,36,94,82.6
art_gallery,282,43,15.2,35,258,52.3
laundromat,88,41,46.6,35,81,59.6
shopping,129,46,35.7,35,103,49.3
resort,129,35,27.1,35,128,55.1
health_and_medical,164,39,23.8,35,159,53.0
landscaping,184,32,17.4,34,182,75.4
massage_therapy,184,28,15.2,34,183,76.5
spas,236,33,14.0,34,228,73.2
auto_body_shop,126,32,25.4,33,125,76.2
jewelry_store,199,30,15.1,33,198,74.1
preschool,186,32,17.2,33,181,74.8
thrift_store,86,33,38.4,33,80,61.9
school,143,59,41.3,32,107,45.6
bakery,221,37,16.7,31,206,69.9
cardiologist,117,31,26.5,31,117,53.1
retail,216,30,13.9,30,205,46.9
american_restaurant,245,33,13.5,29,231,68.9
pizza_restaurant,198,29,14.6,29,191,70.9
auto_detailing,74,25,33.8,28,72,81.0
furniture_store,180,27,15.0,28,175,73.6
martial_arts_club,135,28,20.7,28,127,74.6
social_service_organizations,132,32,24.2,28,118,53.3
boutique,119,25,21.0,27,116,76.3
construction_services,165,28,17.0,27,161,76.7
home_cleaning,105,22,21.0,27,105,77.9
active_life,119,56,47.1,27,71,37.6
fire_department,97,30,30.9,27,94,58.6
