niche,city,businesses_with_no_website
winery,Napa,94
(uncategorized),Santa Rosa,92
(uncategorized),Napa,51
winery,St Helena,41
beauty_salon,Santa Rosa,38
(uncategorized),Vacaville,37
winery,Healdsburg,34
(uncategorized),Fairfield,34
(uncategorized),San Rafael,33
(uncategorized),Vallejo,33
automotive_repair,Santa Rosa,29
winery,Sonoma,27
beauty_salon,Vacaville,24
real_estate_agent,Santa Rosa,23
winery,Santa Rosa,23
real_estate_agent,Vacaville,22
(uncategorized),Petaluma,21
beauty_salon,Fairfield,21
church_cathedral,Vallejo,21
church_cathedral,Santa Rosa,21
mexican_restaurant,Santa Rosa,20
church_cathedral,Fairfield,19
automotive_repair,Vallejo,19
farm,Petaluma,18
barber,Santa Rosa,17
(uncategorized),Mill Valley,16
(uncategorized),Novato,16
(uncategorized),Sonoma,16
beauty_salon,Napa,16
winery,Calistoga,16
public_and_government_association,Santa Rosa,16
beauty_and_spa,Santa Rosa,15
beauty_salon,Petaluma,14
cardiologist,Larkspur,14
day_care_preschool,Fairfield,14
restaurant,Santa Rosa,14
automotive_repair,Fairfield,14
beauty_salon,Vallejo,14
restaurant,Vallejo,14
retirement_home,Santa Rosa,14
(uncategorized),Lakeport,13
restaurant,Fairfield,13
professional_services,Santa Rosa,13
farm,Dixon,13
hair_salon,Santa Rosa,13
beauty_salon,San Rafael,12
real_estate_agent,Petaluma,12
beauty_salon,Ukiah,12
real_estate,Santa Rosa,12
barber,Vallejo,12
beauty_salon,Rohnert Park,12
flowers_and_gifts_shop,Santa Rosa,12
winery,Windsor,12
(uncategorized),Windsor,12
(uncategorized),Rohnert Park,12
apartments,San Rafael,11
automotive_repair,Napa,11
hair_salon,Napa,11
real_estate_agent,Napa,11
home_service,Fairfield,11
real_estate_agent,Vallejo,11
chiropractor,Santa Rosa,11
nail_salon,Santa Rosa,11
farm,Sebastopol,11
farm,Healdsburg,10
winery,Glen Ellen,10
farm,Napa,10
public_and_government_association,Fairfield,10
religious_organization,Vallejo,10
contractor,Vacaville,10
mexican_restaurant,Vallejo,10
automotive,Santa Rosa,10
hvac_services,Santa Rosa,10
beauty_salon,Lakeport,9
restaurant,Napa,9
real_estate_agent,San Rafael,9
(uncategorized),Larkspur,9
automotive_repair,Ukiah,9
(uncategorized),Ukiah,9
real_estate_agent,Fairfield,9
professional_services,Fairfield,9
active_life,Santa Rosa,9
grocery_store,Santa Rosa,9
liquor_store,Napa,9
beauty_and_spa,Vacaville,9
day_care_preschool,Vallejo,9
dentist,Vallejo,9
hair_salon,Vacaville,9
(uncategorized),Benicia,9
campus_building,Davis,9
religious_organization,Santa Rosa,9
winery,Geyserville,8
winery,Cloverdale,8
automotive_repair,San Rafael,8
restaurant,Petaluma,8
grocery_store,Petaluma,8
(uncategorized),San Francisco,8
cardiologist,Novato,8
(uncategorized),Sausalito,8
retirement_home,Ukiah,8
barber,Fairfield,8
gym,Fairfield,8
hair_salon,Fairfield,8
hair_salon,Vallejo,8
winery,Yountville,8
grocery_store,Fairfield,8
church_cathedral,Napa,8
community_services_non_profits,Fairfield,8
beauty_salon,Dixon,8
beauty_salon,Benicia,8
day_care_preschool,Vacaville,8
mexican_restaurant,Fairfield,8
tattoo_and_piercing,Vallejo,8
professional_services,Vacaville,8
amusement_park,Vallejo,8
gas_station,Vallejo,8
community_services_non_profits,Vallejo,8
event_planning,Santa Rosa,8
gym,Santa Rosa,8
community_services_non_profits,Santa Rosa,8
cafe,San Rafael,7
hair_salon,Petaluma,7
real_estate_agent,Sonoma,7
community_services_non_profits,San Rafael,7
hair_salon,Ukiah,7
mexican_restaurant,Ukiah,7
(uncategorized),Fort Bragg,7
elementary_school,Ukiah,7
bar,Napa,7
gym,Napa,7
grocery_store,Napa,7
beauty_salon,Suisun City,7
retirement_home,Vallejo,7
home_service,Vacaville,7
professional_services,Vallejo,7
bar,Santa Rosa,7
dentist,Santa Rosa,7
medical_spa,Santa Rosa,7
doctor,Santa Rosa,7
home_service,Santa Rosa,7
medical_center,Santa Rosa,7
accommodation,Santa Rosa,7
automotive_repair,Lakeport,6
nail_salon,Lakeport,6
real_estate_agent,Lakeport,6
winery,Hopland,6
farm,Lakeport,6
beauty_salon,Novato,6
nail_salon,San Rafael,6
real_estate_agent,Mill Valley,6
restaurant,San Rafael,6
home_service,San Rafael,6
(uncategorized),San Anselmo,6
(uncategorized),Corte Madera,6
gym,Ukiah,6
campground,Fort Bragg,6
