id,http_status,https,mobile,load_ms,builder_live,title,audit_grade,error,checked_at
7c94abf0-8e47-4027-99ae-6af3a6b46220,404,1,0,242,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
fcad85b8-bf7f-4c4f-ba76-d35c88e9c7df,404,1,0,249,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
8610f94b-727d-4bda-9c00-08e89e27ed1b,404,1,0,265,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
4c901045-7b80-4432-993a-1f962599f552,404,1,0,268,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
8ac5f98b-c166-4140-8a78-0bc04296dbb4,404,1,0,279,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
67f62c39-910e-4699-9828-81f978925242,404,1,0,281,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
b6b8f241-641c-4023-98a6-73146f9deb11,200,0,1,304,,"Richard Olmsted, CPA",weak,,2026-06-22T12:51:06+00:00
d22ebcff-3a13-4a23-91e3-263936213657,200,0,1,313,Webflow,CHUCKLES GARAGE,weak,,2026-06-22T12:51:06+00:00
7a31eb9e-3e70-4059-adc9-97b5e70e25cc,200,1,1,142,Weebly,Home,good,,2026-06-22T12:51:06+00:00
a3c40e1a-f1c5-42d4-94e9-2af12137a8b1,404,1,1,417,Wix,,broken,,2026-06-22T12:51:06+00:00
8b7c1dd3-d237-44c6-8ff4-fa3e58bc8d19,404,1,0,188,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
40b7115b-0864-40a1-adff-3392f156943f,200,1,1,256,,Square Booking Flow,good,,2026-06-22T12:51:06+00:00
0e15d94f-9888-4fac-8b8c-c54fb2f01bfb,200,1,1,355,Weebly,GROOMSMITHS BARBERSHOP - Home,good,,2026-06-22T12:51:06+00:00
8d1df371-ef2c-4ea9-8694-9050884331a1,404,1,0,189,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:06+00:00
c8fe104a-a795-4538-a206-cfcf79a2f1e9,404,1,1,229,Wix,404 Error: Page Not Found | Wix.com,broken,,2026-06-22T12:51:06+00:00
37c3bf63-9eba-476f-b456-3cfee70da89b,429,0,1,19,Weebly,Just a moment...,broken,,2026-06-22T12:51:06+00:00
039f99a9-73a7-450d-9a20-b21023733993,200,1,1,581,Weebly,,good,,2026-06-22T12:51:07+00:00
bfdfddbd-47c4-4541-a893-b8befccb20cb,200,1,1,869,Squarespace,Home | My Site,good,,2026-06-22T12:51:07+00:00
e57212df-94f5-4f7c-ac1b-2cd78fc15819,200,1,1,597,Weebly,Shop All | ISABELA DUAIN BEAUTY,good,,2026-06-22T12:51:07+00:00
64168c4f-71a4-4da5-be90-bd4d3a892b27,200,1,1,434,Weebly,,good,,2026-06-22T12:51:07+00:00
1516e5ed-e765-4937-aaa5-d3c0154d07a7,200,1,1,898,Weebly,Home | Delicious Delightful,good,,2026-06-22T12:51:07+00:00
382c457e-2ac1-4046-ae41-a83b81594bda,200,1,1,656,Weebly,,good,,2026-06-22T12:51:07+00:00
1a56665e-91c7-407f-95f9-d30c20cb3674,200,1,1,650,Weebly,,good,,2026-06-22T12:51:07+00:00
b2b9c4b3-4942-4c57-af24-4f76daef3ca8,200,0,1,114,Weebly,Cuppa - Home,weak,,2026-06-22T12:51:07+00:00
c4b5f1cf-5c46-488b-845f-c177f6c628ef,404,1,0,169,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:07+00:00
b74dc3e6-1f8a-4ef5-bd5f-56b6f703cbef,200,1,1,389,Weebly,,good,,2026-06-22T12:51:07+00:00
25e3570e-c2f4-4068-a32e-5116f8353de3,404,1,0,247,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:07+00:00
2df1c5ec-df72-43e2-8c4b-cdc25aaee3a2,200,1,1,674,Weebly,Appointments | Lashes by Lauren Holster,good,,2026-06-22T12:51:07+00:00
7245987e-e8db-495d-9021-1932f5a5d0ea,200,1,1,477,GoDaddy,LocalQ 707 at the LAB,good,,2026-06-22T12:51:07+00:00
2186b49a-e3a4-4e58-966a-81aa69f5dac5,404,1,1,357,,Page Not Found,broken,,2026-06-22T12:51:07+00:00
d17b6b47-46a4-4afe-bc72-345843bce96d,200,1,0,43,WordPress,"Robin&#039;s Nest DayCare | Child care with an emphasis on consistency, parental involvement and nurturing!",weak,,2026-06-22T12:51:07+00:00
d9a4ecb6-64d5-41ca-a4ec-f2ce615b110d,404,1,0,183,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:07+00:00
b1e54eeb-fbe4-4a77-bfe4-19ef4dbc6d9c,200,1,1,661,,Square Booking Flow,good,,2026-06-22T12:51:07+00:00
a4d722c7-27c5-47b6-9e26-79edea501250,200,1,1,828,Weebly,,good,,2026-06-22T12:51:07+00:00
39d4508b-1549-40c9-9205-b8e1d3e22978,404,1,0,183,,404 - Page Not Found,broken,,2026-06-22T12:51:07+00:00
c599d359-7f5a-460a-aeb6-7fa59aa9731f,404,0,1,238,Weebly,404 - Page Not Found,broken,,2026-06-22T12:51:07+00:00
4d8dac54-ee9c-4387-80a6-1e865d6de393,200,1,1,630,Weebly,,good,,2026-06-22T12:51:07+00:00
e30e5317-3241-4bee-96c7-d2147393a5c7,404,1,0,207,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:07+00:00
35ccb3cc-aa7e-4b7e-8137-f46fcb67fc6a,404,1,1,221,Wix,,broken,,2026-06-22T12:51:07+00:00
cfe7acf3-37ae-4988-927f-2068c36d93ae,200,1,0,290,Weebly,Fetrow Family Child Care - Welcome,weak,,2026-06-22T12:51:07+00:00
d3e65567-a483-4a15-9040-52e972f01800,200,1,1,71,Weebly,,good,,2026-06-22T12:51:07+00:00
30cabae2-a4a2-47db-8970-21fddb45efdc,200,1,1,772,Weebly,"RIVERTOWN CHIROPRACTIC (DR.WENDY STAPLES HICKS, DC, QME) - Dr. Wendy Staples Hicks, D.C.",good,,2026-06-22T12:51:07+00:00
042ba4d2-d5df-4931-9f47-5b0092f8ca77,404,1,0,179,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:07+00:00
7bc8134f-5b6f-4cc5-ba90-3ee03ba111c6,200,1,0,415,WordPress,Contact Us | Purple Island Smoke Shop,weak,,2026-06-22T12:51:07+00:00
e9593fc4-3df9-41a6-b27e-178418088a38,200,1,1,287,Weebly,Victoria Salon - Home,good,,2026-06-22T12:51:08+00:00
8ef6dbd4-bfe8-4aa0-bb08-bfa2856b4052,200,1,1,1314,Wix,Brittani Spyrka/ extensions/california,good,,2026-06-22T12:51:08+00:00
8226163d-5f81-4940-b78c-033fc7cc4574,404,0,0,141,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:08+00:00
e785150c-04f2-4554-b12e-fd181311468d,404,1,0,172,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:08+00:00
a718426d-605e-4eb7-ac79-675410bb05d9,200,1,0,46,WordPress,Monte Rio Cabin,weak,,2026-06-22T12:51:08+00:00
226abb2f-b982-4266-bd8e-83eda0e675f3,200,1,1,353,Weebly,"Home | Heal Thyself, Inc",good,,2026-06-22T12:51:08+00:00
95790ac2-4789-4990-8929-9090c0e63fbc,404,1,0,162,,404 - Page Not Found,broken,,2026-06-22T12:51:08+00:00
6c295ae0-e15e-402d-a64c-560a1a23e2da,200,0,1,204,,Massage/Bodywork by Colin Godwin,weak,,2026-06-22T12:51:08+00:00
106f72de-3f90-4f95-9951-b6456d072b77,200,1,1,615,Weebly,Main | Artesana,good,,2026-06-22T12:51:08+00:00
d7e813b6-2f14-4460-8d08-648baa40125d,404,1,1,238,Wix,,broken,,2026-06-22T12:51:08+00:00
0f428781-5c4d-4f35-9830-e31f3d8029c4,200,1,1,866,,Square Booking Flow,good,,2026-06-22T12:51:08+00:00
2141d6f6-28c7-448b-8520-1b334e68d7e9,200,1,1,359,GoDaddy,SoCo Aesthetics: Premier Medical Spa for Skin Rejuvenation,good,,2026-06-22T12:51:08+00:00
3c250d6c-ab92-4930-89bf-63525e70c0bf,429,1,1,63,Weebly,Just a moment...,broken,,2026-06-22T12:51:08+00:00
8532a77e-12e7-4680-aca1-cd5f58a79389,200,1,1,659,,Square Booking Flow,good,,2026-06-22T12:51:08+00:00
4ea24378-5a47-4ebe-a9fc-b65a00c8715d,404,0,0,149,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:51:08+00:00
521a71ff-3897-413d-aabd-db2b09024dd0,200,1,1,915,Wix,Home | Pink Diamond Clean 1,good,,2026-06-22T12:51:08+00:00
1605c13b-696b-40f7-88e5-3adcc5bc358b,200,1,1,677,Weebly,Appointments | Healing Hands Therapeutic Massage,good,,2026-06-22T12:51:08+00:00
3ea80495-9dce-43bf-a995-a0ddad4fc622,200,1,1,617,Weebly,,good,,2026-06-22T12:51:08+00:00
5bdf6e2e-1f43-457e-8331-dbcbf1e7a106,0,0,0,97,,,broken,"ssl: HTTPSConnectionPool(host='www.sonomanails.wix.com', port=443): Max retries exceeded with url: /sonom",2026-06-22T12:51:08+00:00
