city,count
Lakeport,659
Clearlake,400
Kelseyville,287
Cloverdale,286
Middletown,200
Geyserville,124
Healdsburg,112
Upper Lake,99
Lower Lake,95
Hidden Valley Lake,86
Clearlake Oaks,85
Lucerne,60
Nice,55
Cobb,43
Hopland,18
Potter Valley,17
Stonyford,17
Pope Valley,8
Lake County,6
Willows,6
Calistoga,5
LAKEPORT,4
Elk Creek,3
Glenhaven,3
CLEARLAKE,2
Colusa County,2
Glenn County,2
Los Angeles,2
Lower-Lake,2
NICE,2
Ukiah,2
Williams,2
Witter Springs,2
Alamo,1
Arlington,1
Clearlake-Oaks,1
Corvallis,1
Coverdale,1
Davis,1
Finley,1
Jimtown,1
Kelsyville,1
Knoxville,1
Lake Pillsbury Ranch,1
"Lakeport, CA",1
Loch Lomond,1
Lynchburg,1
MIDDLETOWN,1
Mendocino County,1
Mercuryville,1
Napa,1
Napa County,1
Oakland,1
Palm Springs,1
Pleasanton Valley,1
Rajshahi,1
Santa Rosa,1
Sonoma County,1
Warwick,1
