niche,count
winery,170
real_estate_agent,71
church_cathedral,51
community_services_non_profits,51
farm,46
automotive_repair,43
beauty_salon,42
doctor,34
hotel,31
gas_station,28
hair_salon,26
campground,25
coffee_shop,25
grocery_store,24
rv_park,23
professional_services,22
contractor,21
gym,21
restaurant,21
bed_and_breakfast,20
elementary_school,20
medical_center,20
mexican_restaurant,18
self_storage_facility,18
convenience_store,17
thrift_store,17
american_restaurant,16
dentist,16
pizza_restaurant,16
active_life,15
bar,15
nail_salon,15
nurse_practitioner,15
public_and_government_association,15
wine_bar,15
real_estate,14
retail,14
holiday_rental_home,13
mobile_home_park,13
public_service_and_government,13
tattoo_and_piercing,13
barber,12
high_school,12
insurance_agency,12
antique_store,11
education,11
fire_department,11
flowers_and_gifts_shop,11
hospital,11
resort,11
social_service_organizations,11
spas,11
bank_credit_union,10
bar_and_grill_restaurant,10
beauty_and_spa,10
clothing_store,10
event_planning,10
farmers_market,10
health_and_medical,10
hvac_services,10
lodge,10
property_management,10
retirement_home,10
school,10
tobacco_shop,10
art_gallery,9
arts_and_entertainment,9
atms,9
auto_insurance,9
funeral_services_and_cemeteries,9
home_service,9
plumbing,9
preschool,9
religious_organization,9
shopping,9
auto_detailing,8
cafe,8
cardiologist,8
construction_services,8
courier_and_delivery_services,8
fire_protection_service,8
furniture_store,8
landscaping,8
obstetrician_and_gynecologist,8
organization,8
pet_store,8
race_track,8
auto_parts_and_supply_store,7
bakery,7
brewery,7
building_supply_store,7
cannabis_clinic,7
day_care_preschool,7
electrician,7
gift_shop,7
home_health_care,7
internal_medicine,7
jewelry_store,7
middle_school,7
pediatrician,7
pet_groomer,7
public_utility_company,7
storage_facility,7
venue_and_event_space,7
water_supplier,7
barbecue_restaurant,6
business_management_services,6
carpet_store,6
casino,6
chiropractor,6
cosmetic_dentist,6
credit_union,6
laundromat,6
library,6
liquor_store,6
massage_therapy,6
skate_park,6
thai_restaurant,6
tire_dealer_and_repair,6
veterinarian,6
wine_tasting_room,6
animal_shelter,5
appliance_repair_service,5
automotive,5
cabin,5
caterer,5
catholic_church,5
community_center,5
delicatessen,5
equestrian_facility,5
fast_food_restaurant,5
financial_service,5
golf_course,5
health_food_store,5
home_cleaning,5
hunting_and_fishing_supplies,5
it_service_and_computer_repair,5
mobile_phone_store,5
museum,5
music_production,5
pet_services,5
real_estate_service,5
roofing,5
shopping_center,5
smoothie_juice_bar,5
travel,5
tree_services,5
accommodation,4
acupuncture,4
agriculture,4
airport,4
apartments,4
appliance_store,4
arts_and_crafts,4
auto_body_shop,4
auto_glass_service,4
automotive_services_and_repair,4
bail_bonds_service,4
cannabis_dispensary,4
corporate_office,4
diner,4
disability_services_and_support_organization,4
discount_store,4
dive_bar,4
fabric_store,4
family_practice,4
forestry_service,4
gastropub,4
glass_and_mirror_sales_service,4
history_museum,4
home_improvement_store,4
industrial_equipment,4
lawyer,4
lumber_store,4
martial_arts_club,4
massage,4
mortgage_broker,4
motorcycle_repair,4
naturopathic_holistic,4
notary_public,4
pain_management,4
pest_control_service,4
pet_breeder,4
pharmacy,4
psychiatrist,4
recreational_vehicle_dealer,4
sandwich_shop,4
senior_citizen_services,4
skin_care,4
social_and_human_services,4
sporting_goods,4
trusts,4
used_vintage_and_consignment,4
womens_clothing_store,4
agricultural_service,3
ambulance_and_ems_services,3
auto_customization,3
automotive_parts_and_accessories,3
banks,3
baptist_church,3
bicycle_shop,3
boat_service_and_repair,3
boutique,3
brake_service_and_repair,3
business_manufacturing_and_supply,3
car_wash,3
carpenter,3
college_university,3
cosmetic_and_beauty_supplies,3
counseling_and_mental_health,3
day_spa,3
dialysis_clinic,3
donuts,3
event_photography,3
gardener,3
general_dentistry,3
hardware_store,3
hydraulic_equipment_supplier,3
ice_cream_shop,3
interior_design,3
junkyard,3
livestock_breeder,3
marina,3
masonry_concrete,3
mobile_phone_repair,3
music_venue,3
national_park,3
nature_reserve,3
nursery_and_gardening,3
optometrist,3
orthodontist,3
printing_services,3
propane_supplier,3
psychologist,3
public_school,3
shipping_center,3
social_welfare_center,3
sports_and_recreation_venue,3
surgeon,3
tanning_salon,3
tire_shop,3
topic_concert_venue,3
urban_farm,3
used_car_dealer,3
window_washing,3
yoga_studio,3
accountant,2
armed_forces_branch,2
art_school,2
attractions_and_activities,2
b2b_cleaning_and_waste_management,2
beer_bar,2
boat_rental_and_training,2
boat_storage_facility,2
bookstore,2
