city,count
San Rafael,3222
Petaluma,2720
Novato,1813
Sonoma,1366
Mill Valley,1148
Sausalito,750
Larkspur,575
San Francisco,522
Corte Madera,519
Greenbrae,500
San Anselmo,445
Fairfax,249
Tiburon,169
Point Reyes Station,109
Penngrove,69
Kentfield,68
Bolinas,48
Nicasio,39
Ross,39
Belvedere-Tiburon,37
Belvedere Tiburon,34
Inverness,28
SAN RAFAEL,27
Stinson Beach,26
Tomales,26
Cotati,23
Marshall,22
Belvedere,20
San-Rafael,19
Lagunitas,18
PETALUMA,16
Concord,13
Woodacre,13
Forest Knolls,12
Marin County,11
NOVATO,11
Santa Rosa,11
San Geronimo,9
Olema,6
SONOMA,6
Muir Beach,5
SAUSALITO,4
San Quentin,4
Fair,3
MILL VALLEY,3
Monterey,3
LARKSPUR,2
Marin,2
Oakland,2
SAN ANSELMO,2
san rafael,2
869 Grant ave.,1
90005,1
Albuquerque,1
Austin,1
Boyes Hot Springs,1
CORTE MADERA,1
Charleston,1
Chicago,1
Contra Costa County,1
Corte-Madera,1
Del Sur,1
Denver,1
East Petaluma,1
Export,1
FAIRFAX,1
"Fairfax, CA, US",1
GREENBRAE,1
Glen Cove,1
Healdsburg,1
Khalilabad,1
Lakeport,1
Marin City,1
Mill-Valley,1
Napa,1
"Novato, CA",1
Palm Springs,1
"Petaluma, CA, US",1
Petuluma,1
Pinole,1
Point Reyes,1
Pt Reyes Sta,1
Pt Reyes Station,1
Pt. Reyes Station,1
ROSS,1
Richmond,1
Rohnert Park,1
"Ross, CA, US",1
SAN FRANCISCO,1
San Pablo,1
"San Rafael, CA",1
"San Rafael, CA, US",1
San Rafeal,1
San-Anselmo,1
Santa Clara,1
Sebastopol,1
South Lake Tahoe,1
South San Francisco,1
Stinson-Beach,1
Sun Valley,1
Ukiah,1
Westlake Village,1
White Haven,1
novato,1
olema,1
san anselmo,1
sonoma,1
