niche,count
real_estate_agent,569
doctor,200
hair_salon,196
community_services_non_profits,195
beauty_salon,166
winery,164
professional_services,160
automotive_repair,158
gym,151
contractor,149
restaurant,148
church_cathedral,124
dentist,117
clothing_store,102
real_estate,101
medical_center,99
financial_service,95
art_gallery,93
insurance_agency,91
nail_salon,87
chiropractor,84
coffee_shop,81
counseling_and_mental_health,80
mexican_restaurant,80
spas,79
farm,75
jewelry_store,75
apartments,70
bakery,70
american_restaurant,69
home_service,68
auto_insurance,67
cafe,67
cardiologist,67
flowers_and_gifts_shop,67
furniture_store,67
massage_therapy,67
preschool,67
elementary_school,66
acupuncture,65
retail,65
hotel,64
event_planning,62
interior_design,62
massage,62
pizza_restaurant,62
property_management,62
corporate_office,61
landscaping,57
lawyer,57
health_and_medical,56
italian_restaurant,55
naturopathic_holistic,55
obstetrician_and_gynecologist,54
building_supply_store,53
financial_advising,53
grocery_store,52
hvac_services,52
legal_services,52
yoga_studio,51
electronics,50
mortgage_broker,50
womens_clothing_store,50
bank_credit_union,49
gift_shop,49
mortgage_lender,49
antique_store,48
construction_services,48
internal_medicine,47
plumbing,47
skin_care,47
education,46
public_and_government_association,45
veterinarian,45
gas_station,44
marketing_agency,44
car_dealer,43
retirement_home,43
self_storage_facility,43
advertising_agency,42
school,42
arts_and_entertainment,41
bar,41
ice_cream_shop,41
boutique,40
general_dentistry,40
liquor_store,40
pediatrician,40
bicycle_shop,39
accountant,38
psychotherapist,38
active_life,37
home_health_care,37
chinese_restaurant,36
painting,36
architectural_designer,35
hospital,35
religious_organization,35
beauty_and_spa,34
dance_school,34
arts_and_crafts,33
home_cleaning,33
it_service_and_computer_repair,33
martial_arts_club,33
bed_and_breakfast,32
medical_spa,32
pet_store,32
sporting_goods,32
sushi_restaurant,32
wine_bar,32
orthopedist,31
printing_services,31
shopping,31
social_service_organizations,31
campground,30
caterer,30
college_university,30
day_care_preschool,30
psychologist,30
sports_and_recreation_venue,30
thai_restaurant,30
farmers_market,29
optometrist,29
public_service_and_government,29
venue_and_event_space,29
assisted_living_facility,28
barber,28
home_decor,28
shopping_center,28
software_development,28
bookstore,27
cosmetic_and_beauty_supplies,27
divorce_and_family_law,27
fire_department,27
roofing,27
shoe_store,27
automotive,26
day_spa,26
library,26
marriage_or_relationship_counselor,26
nursery_and_gardening,26
physical_therapy,26
business_management_services,25
community_center,25
dry_cleaning,25
home_improvement_store,25
personal_injury_law,25
pilates_studio,25
used_car_dealer,25
atms,24
auto_body_shop,24
attractions_and_activities,23
electrician,23
gastroenterologist,23
hardware_store,23
pharmacy,23
surgeon,23
burger_restaurant,22
event_photography,22
food_truck,22
national_park,22
skate_park,22
theatre,22
wills_trusts_and_probate,22
breakfast_and_brunch_restaurant,21
cinema,21
delicatessen,21
dermatologist,21
garbage_collection_service,21
indian_restaurant,21
pet_services,21
travel,21
brewery,20
carpenter,20
home_goods_store,20
information_technology_company,20
marina,20
nature_reserve,20
toy_store,20
travel_services,20
tutoring_center,20
baseball_field,19
cosmetic_dentist,19
donuts,19
employment_agencies,19
high_school,19
laundry_services,19
orthodontist,19
pet_groomer,19
private_school,19
carpet_store,18
childrens_clothing_store,18
convenience_store,18
fashion_accessories_store,18
music_school,18
musical_instrument_store,18
pediatric_dentist,18
web_designer,18
auto_detailing,17
cocktail_bar,17
dog_park,17
mobile_phone_store,17
rental_services,17
sports_club_and_league,17
car_wash,16
child_care_and_day_care,16
desserts,16
educational_services,16
investing,16
key_and_locksmith,16
metal_fabricator,16
museum,16
pest_control_service,16
psychiatrist,16
sandwich_shop,16
storage_facility,16
tire_shop,16
tours,16
appliance_store,15
architect,15
auto_loan_provider,15
auto_parts_and_supply_store,15
barbecue_restaurant,15
carpet_cleaning,15
emissions_inspection,15
flooring_store,15
florist,15
gardener,15
neurologist,15
organization,15
outdoor_gear,15
podiatrist,15
tanning_salon,15
thrift_store,15
art_school,14
business,14
charity_organization,14
engineering_services,14
environmental_conservation_organization,14
equestrian_facility,14
ev_charging_station,14
fire_protection_service,14
garage_door_service,14
holiday_rental_home,14
laundromat,14
music_production,14
music_venue,14
pet_boarding,14
playground,14
pub,14
resort,14
seafood_restaurant,14
smoothie_juice_bar,14
specialty_grocery_store,14
tennis_court,14
tree_services,14
trusts,14
urologist,14
used_vintage_and_consignment,14
asian_fusion_restaurant,13
automotive_parts_and_accessories,13
bus_station,13
condominium,13
department_store,13
diagnostic_imaging,13
eyewear_and_optician,13
fence_and_gate_sales_service,13
fitness_trainer,13
graphic_designer,13
hair_removal,13
industrial_equipment,13
middle_school,13
mobile_home_park,13
music_and_dvd_store,13
real_estate_service,13
tax_services,13
topic_concert_venue,13
train_station,13
vietnamese_restaurant,13
weight_loss_center,13
abuse_and_addiction_treatment,12
animal_shelter,12
bar_and_grill_restaurant,12
chimney_sweep,12
fast_food_restaurant,12
food_delivery_service,12
