city,count
Ukiah,1326
Lakeport,650
Fort Bragg,622
Willits,406
Cloverdale,272
Mendocino,220
Kelseyville,173
Gualala,122
Redwood Valley,112
Upper Lake,98
Hopland,84
Laytonville,75
Point Arena,65
Boonville,58
Philo,57
Nice,53
Covelo,52
Potter Valley,48
Little River,41
Albion,28
Elk,20
Westport,18
Manchester,16
Mendocino County,16
Leggett,15
Caspar,13
Yorkville,11
Comptche,9
Piercy,9
UKIAH,6
Branscomb,3
Dos Rios,3
LAKEPORT,3
FORT BRAGG,2
Fort-Bragg,2
Ft Bragg,2
Lake County,2
Littleriver,2
NICE,2
Point arena,2
Ukaih,2
Witter Springs,2
Arlington,1
Arnold,1
Bodega,1
Booneville,1
CA,1
Calpella,1
Clearlake,1
Coverdale,1
Dubai,1
Finley,1
"Fort Bragg, CA",1
GUALALA,1
Kelsyville,1
Lake Pillsbury Ranch,1
"Lakeport, CA",1
Lodi,1
Los Angeles,1
Lynchburg,1
Malibu,1
Mendocino-Anderson,1
Mercuryville,1
Middletown,1
Münchenstein,1
Navarro,1
Osmond,1
Redwood-Potter Valley,1
San Jose,1
Seattle,1
Sonoma,1
Sonoma County,1
Talmage,1
The Sea Ranch,1
"Ukiah, CA, US",1
Ulkiah,1
WILLITS,1
Warwick,1
York,1
gualala,1
