niche,count
winery,130
real_estate_agent,113
beauty_salon,84
community_services_non_profits,82
automotive_repair,69
church_cathedral,68
hotel,68
farm,64
gas_station,53
doctor,47
flowers_and_gifts_shop,45
elementary_school,44
bed_and_breakfast,43
mexican_restaurant,41
campground,40
hair_salon,40
contractor,39
restaurant,39
grocery_store,38
gym,36
public_and_government_association,34
professional_services,33
skate_park,31
art_gallery,29
religious_organization,29
event_planning,28
coffee_shop,27
convenience_store,27
dentist,27
medical_center,27
holiday_rental_home,26
pizza_restaurant,26
real_estate,26
public_service_and_government,25
resort,25
retail,24
barber,23
clothing_store,23
bank_credit_union,22
bar,22
construction_services,22
massage_therapy,22
nail_salon,22
retirement_home,22
tattoo_and_piercing,22
insurance_agency,21
mobile_home_park,21
auto_insurance,20
cafe,20
massage,20
naturopathic_holistic,20
american_restaurant,19
high_school,19
rv_park,19
self_storage_facility,19
shopping,19
wine_bar,19
health_and_medical,18
school,18
social_service_organizations,18
building_supply_store,17
hospital,17
roofing,17
spas,17
active_life,16
fire_department,16
furniture_store,16
nursery_and_gardening,16
property_management,16
arts_and_crafts,15
bakery,15
education,15
motel,15
plumbing,15
seafood_restaurant,15
surgeon,15
antique_store,14
beauty_and_spa,14
farmers_market,14
financial_service,14
mobile_phone_store,14
museum,14
pharmacy,14
preschool,14
boutique,13
brewery,13
cannabis_clinic,13
chiropractor,13
community_center,13
home_health_care,13
industrial_equipment,13
travel,13
tree_services,13
auto_body_shop,12
baptist_church,12
fire_protection_service,12
gift_shop,12
hardware_store,12
it_service_and_computer_repair,12
jewelry_store,12
thrift_store,12
topic_concert_venue,12
venue_and_event_space,12
veterinarian,12
automotive,11
bar_and_grill_restaurant,11
car_dealer,11
college_university,11
electrician,11
landscaping,11
printing_services,11
state_park,11
storage_facility,11
womens_clothing_store,11
atms,10
counseling_and_mental_health,10
delicatessen,10
legal_services,10
liquor_store,10
nurse_practitioner,10
pet_groomer,10
pet_store,10
cottage,9
freight_and_cargo_service,9
garbage_collection_service,9
gun_and_ammo,9
lawyer,9
library,9
lumber_store,9
martial_arts_club,9
optometrist,9
orthopedist,9
sports_and_recreation_venue,9
supermarket,9
tanning_salon,9
tire_dealer_and_repair,9
used_vintage_and_consignment,9
accommodation,8
apartments,8
asian_restaurant,8
auto_glass_service,8
day_care_preschool,8
day_spa,8
engineering_services,8
equestrian_facility,8
health_food_store,8
home_cleaning,8
home_improvement_store,8
home_service,8
mortgage_broker,8
musical_instrument_store,8
obstetrician_and_gynecologist,8
organization,8
physical_therapy,8
pub,8
radio_station,8
thai_restaurant,8
tobacco_shop,8
vacation_rental_agents,8
airport,7
appliance_store,7
arts_and_entertainment,7
barbecue_restaurant,7
bookstore,7
breakfast_and_brunch_restaurant,7
cardiologist,7
caterer,7
chinese_restaurant,7
donuts,7
electronics,7
fast_food_restaurant,7
funeral_services_and_cemeteries,7
home_goods_store,7
hvac_services,7
internal_medicine,7
laundromat,7
metal_fabricator,7
notary_public,7
ophthalmologist,7
painting,7
public_school,7
senior_citizen_services,7
septic_services,7
towing_service,7
toy_store,7
trusts,7
video_game_store,7
yoga_studio,7
auto_parts_and_supply_store,6
bicycle_shop,6
brake_service_and_repair,6
burger_restaurant,6
cannabis_dispensary,6
carpet_store,6
corporate_office,6
credit_union,6
diner,6
dog_park,6
glass_and_mirror_sales_service,6
key_and_locksmith,6
laboratory_testing,6
middle_school,6
orthodontist,6
propane_supplier,6
race_track,6
sporting_goods,6
sports_club_and_league,6
travel_services,6
water_supplier,6
youth_organizations,6
appliance_repair_service,5
auto_detailing,5
automotive_parts_and_accessories,5
banks,5
business_management_services,5
cabin,5
car_wash,5
casino,5
commercial_industrial,5
countertop_installation,5
courthouse,5
dance_school,5
dive_bar,5
fabric_store,5
food_delivery_service,5
forestry_service,5
general_dentistry,5
history_museum,5
ice_cream_shop,5
italian_restaurant,5
japanese_restaurant,5
logging_services,5
music_production,5
pediatrician,5
personal_injury_law,5
pet_services,5
safety_equipment,5
screen_printing_t_shirt_printing,5
shopping_center,5
social_and_human_services,5
specialty_grocery_store,5
sushi_restaurant,5
tire_shop,5
transportation,5
abuse_and_addiction_treatment,4
acupuncture,4
agricultural_service,4
auto_customization,4
baseball_field,4
business_manufacturing_and_supply,4
catholic_church,4
central_government_office,4
childrens_clothing_store,4
cosmetic_and_beauty_supplies,4
courier_and_delivery_services,4
coworking_space,4
disability_services_and_support_organization,4
disc_golf_course,4
distillery,4
food_beverage_service_distribution,4
food_truck,4
gardener,4
gastropub,4
graphic_designer,4
hobby_shop,4
inn,4
livestock_breeder,4
lodge,4
machine_shop,4
medical_service_organizations,4
mobile_phone_accessories,4
nature_reserve,4
oncologist,4
outdoor_gear,4
pet_breeder,4
podiatrist,4
public_utility_company,4
shoe_store,4
skin_care,4
smoothie_juice_bar,4
specialty_school,4
taco_restaurant,4
tax_services,4
urologist,4
used_car_dealer,4
vegan_restaurant,4
walk_in_clinic,4
accountant,3
agriculture,3
ambulance_and_ems_services,3
amusement_park,3
architect,3
armed_forces_branch,3
automobile_registration_service,3
automotive_dealer,3
automotive_services_and_repair,3
b2b_cleaning_and_waste_management,3
beauty_product_supplier,3
beer_garden,3
bridal_shop,3
broadcasting_media_production,3
business,3
business_office_supplies_and_stationery,3
butcher_shop,3
candy_store,3
car_rental_agency,3
car_stereo_store,3
car_window_tinting,3
carpenter,3
carpet_cleaning,3
charity_organization,3
chicken_restaurant,3
chocolatier,3
cinema,3
computer_store,3
cosmetic_dentist,3
department_of_motor_vehicles,3
desserts,3
diagnostic_imaging,3
divorce_and_family_law,3
ev_charging_station,3
event_photography,3
excavation_service,3
eyewear_and_optician,3
fair,3
family_practice,3
fence_and_gate_sales_service,3
flea_market,3
food_banks,3
fruits_and_vegetables,3
gastroenterologist,3
gymnastics_center,3
health_consultant,3
hot_dog_restaurant,3
hunting_and_fishing_supplies,3
interior_design,3
internet_service_provider,3
lounge,3
machine_and_tool_rentals,3
marina,3
masonry_concrete,3
maternity_centers,3
medical_supply,3
mens_clothing_store,3
motorcycle_repair,3
music_venue,3
oil_change_station,3
paint_store,3
pest_control_service,3
pet_boarding,3
physician_assistant,3
pop_up_shop,3
powder_coating_service,3
recreational_vehicle_dealer,3
religious_school,3
sewing_and_alterations,3
shipping_center,3
shooting_range,3
sign_making,3
stadium_arena,3
steakhouse,3
telecommunications_company,3
theatre,3
town_hall,3
train_station,3
truck_rentals,3
truck_repair,3
vietnamese_restaurant,3
vitamins_and_supplements,3
wildlife_sanctuary,3
advertising_agency,2
amateur_sports_league,2
anesthesiologist,2
animal_shelter,2
architectural_designer,2
art_school,2
assisted_living_facility,2
attractions_and_activities,2
auto_electrical_repair,2
bail_bonds_service,2
beer_bar,2
bike_rentals,2
boat_storage_facility,2
botanical_garden,2
business_to_business,2
caribbean_restaurant,2
cemeteries,2
check_cashing_payday_loans,2
chicken_wings_restaurant,2
child_care_and_day_care,2
chimney_sweep,2
circus,2
cocktail_bar,2
criminal_defense_law,2
dialysis_clinic,2
discount_store,2
dog_trainer,2
drive_in_theater,2
e_cigarette_store,2
educational_camp,2
educational_research_institute,2
employment_agencies,2
energy_equipment_and_solution,2
environmental_conservation_and_ecological_organizations,2
environmental_conservation_organization,2
fashion,2
fashion_accessories_store,2
financial_advising,2
fire_and_water_damage_restoration,2
fishing_charter,2
fishmonger,2
food,2
food_stand,2
furniture_assembly,2
garage_door_service,2
gold_buyer,2
golf_course,2
greek_restaurant,2
haunted_house,2
hearing_aids,2
home_and_garden,2
horse_boarding,2
hydraulic_equipment_supplier,2
indian_restaurant,2
infectious_disease_specialist,2
iron_and_steel_industry,2
irrigation,2
korean_restaurant,2
land_surveying,2
life_coach,2
lighthouse,2
makeup_artist,2
mattress_store,2
media_news_company,2
medical_spa,2
meditation_center,2
mobile_phone_repair,2
mortgage_lender,2
motorcycle_dealer,2
movers,2
music_and_dvd_store,2
music_school,2
observatory,2
office_equipment,2
organic_grocery_store,2
pain_management,2
pan_asian_restaurant,2
parking,2
party_supply,2
pediatric_cardiology,2
pentecostal_church,2
pilates_studio,2
playground,2
political_organization,2
pool_cleaning,2
prenatal_perinatal_care,2
psychiatrist,2
recreation_vehicle_repair,2
rental_service,2
sandwich_shop,2
soccer_field,2
surf_shop,2
swimming_pool,2
tea_room,2
telecommunications,2
tiling,2
vehicle_shipping,2
vocational_and_technical_school,2
water_treatment_equipment_and_services,2
wedding_planning,2
welding_supply_store,2
wholesale_store,2
academic_bookstore,1
after_school_program,1
agricultural_cooperatives,1
aircraft_dealer,1
airlines,1
altering_and_remodeling_contractor,1
alternative_medicine,1
animal_rescue_service,1
appliance_manufacturer,1
appraisal_services,1
argentine_restaurant,1
asian_fusion_restaurant,1
auction_house,1
auditorium,1
auto_loan_provider,1
auto_restoration_services,1
b2b_electronic_equipment,1
bagel_shop,1
beverage_store,1
beverage_supplier,1
bistro,1
boat_dealer,1
boat_rental_and_training,1
boat_service_and_repair,1
boat_tours,1
boot_camp,1
bowling_alley,1
bubble_tea,1
buddhist_temple,1
buffet_restaurant,1
business_advertising,1
business_consulting,1
business_equipment_and_supply,1
business_financing,1
business_to_business_services,1
cabinet_sales_service,1
cancer_treatment_center,1
car_inspection,1
