city,count
Napa,3884
Petaluma,2081
Sonoma,1486
Fairfield,1140
St Helena,388
Calistoga,369
American Canyon,368
Saint Helena,344
Santa Rosa,180
Middletown,178
Yountville,155
Glen Ellen,121
Hidden Valley Lake,86
Angwin,82
Kenwood,78
Vallejo,72
St. Helena,46
Oakville,26
Rutherford,23
NAPA,22
Brooks,19
Pope Valley,15
PETALUMA,14
Guinda,13
Capay,10
Napa County,10
Penngrove,10
SONOMA,6
Cordelia,5
Deer Park,5
Lower Lake,5
Novato,5
AMERICAN CANYON,4
FAIRFIELD,4
Sonoma County,4
Suisun City,4
San Francisco,3
Vacaville,3
American-Canyon,2
Eldridge,2
Esparto,2
Napa Valley,2
"Napa, CA, US",2
Palm Springs,2
SAINT HELENA,2
SANTA ROSA,2
Sacramento,2
#StHelena,1
Agua Caliente,1
American Cyn,1
Austin,1
Bakersfield,1
Benicia,1
Boyes Hot Springs,1
CALISTOGA,1
Calistago,1
Charleston,1
City of Napa,1
Clearlake Oaks,1
Contra Costa County,1
Corvallis,1
Cotati,1
East Fairfield,1
Hayward,1
Healdsburg,1
Knoxville,1
Lakeport,1
Larkspur,1
MIDDLETOWN,1
"Petaluma, CA, US",1
Petuluma,1
Pleasant Hill,1
Plymouth,1
Richmond,1
Santa-Rosa,1
Sebastopol,1
Solano County,1
"Sonoma, CA, US",1
South San Francisco,1
"St Helena,",1
"St. Helena, CA, US",1
Venice,1
White Haven,1
Winters,1
Woodland,1
Woodleaf,1
"Yountville, CA, US",1
napa,1
sonoma,1
