niche,count
winery,1189
real_estate_agent,443
restaurant,140
beauty_salon,127
hair_salon,122
church_cathedral,115
community_services_non_profits,103
farm,98
automotive_repair,94
professional_services,89
wine_bar,89
mexican_restaurant,88
dentist,83
contractor,81
doctor,80
gym,77
liquor_store,73
american_restaurant,70
hotel,69
real_estate,67
spas,63
financial_service,61
insurance_agency,61
art_gallery,60
nail_salon,60
event_planning,58
elementary_school,56
medical_center,56
flowers_and_gifts_shop,54
italian_restaurant,53
grocery_store,52
coffee_shop,51
cafe,50
bakery,47
retail,47
pizza_restaurant,46
bed_and_breakfast,45
bar,44
landscaping,44
retirement_home,44
antique_store,41
bank_credit_union,40
building_supply_store,40
barber,39
property_management,38
resort,38
chiropractor,37
counseling_and_mental_health,37
massage,37
cardiologist,36
clothing_store,36
construction_services,36
furniture_store,36
auto_insurance,34
beauty_and_spa,34
general_dentistry,34
lawyer,34
preschool,34
day_spa,33
gas_station,33
home_service,33
martial_arts_club,33
painting,33
public_and_government_association,33
self_storage_facility,33
gift_shop,32
jewelry_store,32
religious_organization,32
corporate_office,31
plumbing,31
farmers_market,30
holiday_rental_home,30
interior_design,30
mortgage_lender,30
apartments,29
hvac_services,29
industrial_equipment,29
tours,29
active_life,28
convenience_store,28
massage_therapy,28
shopping,28
venue_and_event_space,28
womens_clothing_store,28
electrician,27
ice_cream_shop,27
roofing,27
yoga_studio,27
boutique,26
brewery,26
caterer,26
electronics,26
naturopathic_holistic,26
school,26
veterinarian,26
accountant,25
chinese_restaurant,25
hospital,25
mortgage_broker,25
orthopedist,25
pet_store,24
thai_restaurant,24
arts_and_crafts,23
assisted_living_facility,23
atms,23
day_care_preschool,23
health_and_medical,23
internal_medicine,23
printing_services,23
shopping_center,23
automotive,22
obstetrician_and_gynecologist,22
skin_care,22
social_service_organizations,22
delicatessen,21
fire_department,21
legal_services,21
marketing_agency,21
medical_spa,21
travel,21
car_dealer,20
dance_school,20
financial_advising,20
food_truck,20
high_school,20
home_goods_store,20
pet_services,20
public_service_and_government,20
sporting_goods,20
trusts,20
wine_tasting_room,20
arts_and_entertainment,19
education,19
employment_agencies,19
event_photography,19
freight_and_cargo_service,19
library,19
mobile_home_park,19
mobile_phone_store,19
physical_therapy,19
storage_facility,19
travel_services,19
advertising_agency,18
auto_parts_and_supply_store,18
baseball_field,18
car_wash,18
home_cleaning,18
pet_groomer,18
shoe_store,18
surgeon,18
tattoo_and_piercing,18
thrift_store,18
wine_tours,18
auto_body_shop,17
barbecue_restaurant,17
home_health_care,17
it_service_and_computer_repair,17
pediatrician,17
pharmacy,17
pilates_studio,17
tree_services,17
acupuncture,16
bicycle_shop,16
community_center,16
cosmetic_dentist,16
gardener,16
graphic_designer,16
seafood_restaurant,16
auto_detailing,15
breakfast_and_brunch_restaurant,15
burger_restaurant,15
business,15
cosmetic_and_beauty_supplies,15
fire_protection_service,15
hardware_store,15
nursery_and_gardening,15
skate_park,15
attractions_and_activities,14
courier_and_delivery_services,14
laundromat,14
museum,14
sports_and_recreation_venue,14
tobacco_shop,14
wine_wholesaler,14
appliance_store,13
college_university,13
fast_food_restaurant,13
home_decor,13
home_improvement_store,13
hot_tubs_and_pools,13
limo_services,13
metal_fabricator,13
pediatric_dentist,13
podiatrist,13
sushi_restaurant,13
architectural_designer,12
bar_and_grill_restaurant,12
campground,12
discount_store,12
engineering_services,12
fashion_accessories_store,12
lounge,12
middle_school,12
musical_instrument_store,12
private_school,12
sports_club_and_league,12
transportation,12
tutoring_center,12
used_car_dealer,12
automotive_parts_and_accessories,11
brake_service_and_repair,11
building_contractor,11
carpet_store,11
divorce_and_family_law,11
french_restaurant,11
golf_course,11
hair_removal,11
orthodontist,11
pest_control_service,11
race_track,11
supermarket,11
swimming_pool,11
towing_service,11
used_vintage_and_consignment,11
wedding_planning,11
wills_trusts_and_probate,11
agricultural_service,10
business_management_services,10
business_manufacturing_and_supply,10
carpet_cleaning,10
chocolatier,10
department_store,10
dermatologist,10
desserts,10
emissions_inspection,10
food_beverage_service_distribution,10
forestry_service,10
garbage_collection_service,10
health_food_store,10
indian_restaurant,10
key_and_locksmith,10
masonry_concrete,10
psychologist,10
software_development,10
specialty_grocery_store,10
sports_bar,10
taco_restaurant,10
tanning_salon,10
tax_services,10
urologist,10
accommodation,9
agriculture,9
architect,9
bankruptcy_law,9
bookstore,9
carpenter,9
diagnostic_imaging,9
equestrian_facility,9
flooring_store,9
florist,9
garage_door_service,9
history_museum,9
home_inspector,9
hospice,9
japanese_restaurant,9
medical_supply,9
music_production,9
optometrist,9
outdoor_gear,9
packing_supply,9
physician_assistant,9
psychotherapist,9
rental_services,9
theatre,9
tire_shop,9
toy_store,9
weight_loss_center,9
youth_organizations,9
baptist_church,8
business_equipment_and_supply,8
business_to_business,8
childrens_clothing_store,8
cocktail_bar,8
cooking_school,8
credit_union,8
donuts,8
dry_cleaning,8
eat_and_drink,8
food,8
funeral_services_and_cemeteries,8
home_developer,8
installment_loans,8
investing,8
kitchen_supply_store,8
marriage_or_relationship_counselor,8
music_venue,8
oral_surgeon,8
organization,8
party_and_event_planning,8
psychiatrist,8
pub,8
tire_dealer_and_repair,8
topic_concert_venue,8
vitamins_and_supplements,8
amusement_park,7
animal_shelter,7
bridal_shop,7
cannabis_dispensary,7
catholic_church,7
charity_organization,7
christmas_trees,7
cinema,7
dialysis_clinic,7
distillery,7
event_technology_service,7
fence_and_gate_sales_service,7
fitness_trainer,7
gastroenterologist,7
playground,7
pool_cleaning,7
real_estate_service,7
sandwich_shop,7
steakhouse,7
town_hall,7
train_station,7
walk_in_clinic,7
wildlife_sanctuary,7
airport,6
art_school,6
auto_loan_provider,6
automotive_services_and_repair,6
beer_wine_and_spirits,6
beverage_store,6
builders,6
business_law,6
casino,6
chicken_restaurant,6
civil_engineers,6
clinical_laboratories,6
commercial_industrial,6
condominium,6
countertop_installation,6
courthouse,6
disability_services_and_support_organization,6
dog_park,6
electrical_supply_store,6
family_counselor,6
family_practice,6
flooring_contractors,6
gastropub,6
hearing_aids,6
hobby_shop,6
hot_air_balloons_tour,6
housing_authorities,6
information_technology_company,6
inn,6
janitorial_services,6
laboratory_testing,6
land_surveying,6
latin_american_restaurant,6
mediterranean_restaurant,6
money_transfer_services,6
music_school,6
nature_reserve,6
nurse_practitioner,6
oncologist,6
online_shop,6
paint_store,6
parking,6
party_equipment_rental,6
personal_injury_law,6
screen_printing_t_shirt_printing,6
shipping_center,6
smoothie_juice_bar,6
travel_agents,6
vacation_rental_agents,6
vocational_and_technical_school,6
web_designer,6
abuse_and_addiction_treatment,5
arcade,5
asian_fusion_restaurant,5
auto_glass_service,5
auto_restoration_services,5
boxing_class,5
bubble_tea,5
bus_station,5
butcher_shop,5
candy_store,5
cemeteries,5
child_care_and_day_care,5
commercial_real_estate,5
dive_bar,5
endodontist,5
ev_charging_station,5
excavation_service,5
furniture_assembly,5
gun_and_ammo,5
handyman,5
horseback_riding_service,5
immigration_law,5
laundry_services,5
lighting_store,5
lingerie_store,5
lumber_store,5
meditation_center,5
motorcycle_dealer,5
music_and_dvd_store,5
national_park,5
notary_public,5
office_equipment,5
pain_management,5
peruvian_restaurant,5
pet_boarding,5
political_organization,5
private_association,5
recycling_center,5
sewing_and_alterations,5
sightseeing_tour_agency,5
social_and_human_services,5
state_park,5
telecommunications_company,5
topic_publisher,5
truck_rentals,5
warehouses,5
windshield_installation_and_repair,5
audiologist,4
auto_customization,4
automotive_dealer,4
bagel_shop,4
beauty_product_supplier,4
beer_bar,4
beer_garden,4
books_mags_music_and_video,4
brewing_supply_store,4
broadcasting_media_production,4
business_advertising,4
business_consulting,4
business_to_business_services,4
campus_building,4
cannabis_clinic,4
car_window_tinting,4
cheese_shop,4
computer_store,4
dairy_farm,4
diner,4
driving_school,4
e_commerce_service,4
ear_nose_and_throat,4
educational_services,4
environmental_conservation_organization,4
eye_care_clinic,4
eyewear_and_optician,4
fair,4
farming_services,4
food_delivery_service,4
glass_and_mirror_sales_service,4
gutter_service,4
gymnastics_center,4
horse_boarding,4
irrigation,4
life_coach,4
machine_shop,4
medical_service_organizations,4
mobile_phone_repair,4
motorcycle_repair,4
neurologist,4
ophthalmologist,4
paintball,4
pan_asian_restaurant,4
paving_contractor,4
plastic_surgeon,4
pool_and_hot_tub_services,4
prenatal_perinatal_care,4
radio_station,4
recreational_vehicle_dealer,4
rental_service,4
rv_park,4
septic_services,4
sign_making,4
soccer_field,4
social_club,4
solar_installation,4
specialty_school,4
sports_medicine,4
stadium_arena,4
surgical_center,4
tea_room,4
tennis_court,4
tiling,4
vietnamese_restaurant,4
wellness_program,4
wholesale_store,4
womens_health_clinic,4
alternative_medicine,3
amateur_sports_league,3
amateur_sports_team,3
asian_grocery_store,3
auction_house,3
audio_visual_equipment_store,3
auditorium,3
banks,3
bedding_and_bath_stores,3
bistro,3
boat_rental_and_training,3
boot_camp,3
cabinet_sales_service,3
cards_and_stationery_store,3
chimney_sweep,3
cleaning_products_supplier,3
cosmetic_surgeon,3
costume_store,3
cottage,3
criminal_defense_law,3
diagnostic_services,3
dog_walkers,3
drugstore,3
e_cigarette_store,3
energy_company,3
fabric_store,3
fashion,3
flea_market,3
flight_school,3
food_stand,3
framing_store,3
gunsmith,3
health_spa,3
himalayan_nepalese_restaurant,3
home_and_garden,3
home_staging,3
hot_dog_restaurant,3
infectious_disease_specialist,3
junkyard,3
labor_union,3
landscape_architect,3
makeup_artist,3
marina,3
maternity_centers,3
mattress_store,3
mens_clothing_store,3
mobile_phone_accessories,3
motel,3
nutritionist,3
occupational_medicine,3
officiating_services,3
olive_oil,3
party_supply,3
pediatric_cardiology,3
photography_store_and_services,3
plastic_manufacturer,3
pop_up_shop,3
print_media,3
printing_equipment_and_supply,3
public_school,3
railroad_freight,3
record_label,3
restaurant_equipment_and_supply,3
senior_citizen_services,3
session_photography,3
sports_and_fitness_instruction,3
sports_wear,3
tapas_bar,3
temp_agency,3
theatrical_productions,3
tire_repair_shop,3
truck_dealer,3
urban_farm,3
urgent_care_clinic,3
video_game_store,3
visitor_center,3
water_supplier,3
waxing,3
well_drilling,3
window_treatment_store,3
zoo,3
academic_bookstore,2
aircraft_manufacturer,2
allergist,2
animal_hospital,2
animal_rescue_service,2
appraisal_services,2
art_museum,2
art_restoration,2
art_restoration_service,2
artificial_turf,2
asian_restaurant,2
auto_security,2
auto_upholstery,2
bail_bonds_service,2
balloon_ports,2
basketball_court,2
beverage_supplier,2
bike_rentals,2
bingo_hall,2
brazilian_restaurant,2
business_records_storage_and_management,2
cancer_treatment_center,2
candle_store,2
car_rental_agency,2
career_counseling,2
chemical_plant,2
choir,2
collection_agencies,2
comfort_food_restaurant,2
comic_books_store,2
convents_and_monasteries,2
coworking_space,2
cupcake_shop,2
currency_exchange,2
custom_t_shirt_store,2
damage_restoration,2
dance_club,2
department_of_motor_vehicles,2
distribution_services,2
dj_service,2
drywall_services,2
educational_camp,2
educational_research_institute,2
embroidery_and_crochet,2
employment_law,2
energy_equipment_and_solution,2
environmental_and_ecological_services_for_businesses,2
escape_rooms,2
estate_planning_law,2
farm_equipment_and_supply,2
festival,2
filipino_restaurant,2
fire_and_water_damage_restoration,2
foundation_repair,2
general_litigation,2
gold_buyer,2
golf_club,2
government_services,2
hair_extensions,2
hair_stylist,2
hair_supply_stores,2
herb_and_spice_shop,2
home_and_rental_insurance,2
homeless_shelter,2
horse_trainer,2
hydraulic_equipment_supplier,2
insulation_installation,2
internet_marketing_service,2
jazz_and_blues,2
jehovahs_witness_kingdom_hall,2
kids_hair_salon,2
kitchen_and_bath,2
kitchen_remodeling,2
language_school,2
laser_hair_removal,2
law_enforcement,2
leather_goods,2
livestock_breeder,2
local_and_state_government_offices,2
lodge,2
machine_and_tool_rentals,2
massage_school,2
midwife,2
mission,2
mobile_home_dealer,2
mobility_equipment_services,2
mosque,2
motorsports_store,2
movers,2
newspaper_and_magazines_store,2
non_governmental_association,2
occupational_safety,2
occupational_therapy,2
osteopathic_physician,2
outlet_store,2
packing_services,2
passport_and_visa_services,2
patio_covers,2
pet_breeder,2
photographer,2
pool_hall,2
pressure_washing,2
propane_supplier,2
psychic,2
public_health_clinic,2
ranch,2
real_estate_investment,2
roadside_assistance,2
rug_store,2
rv_storage_facility,2
safety_equipment,2
sculpture_statue,2
seafood_market,2
shoe_repair,2
skate_shop,2
sleep_specialist,2
southern_restaurant,2
spanish_restaurant,2
speakeasy,2
steel_fabricators,2
sunglasses_store,2
surgical_appliances_and_supplies,2
swimming_instructor,2
swimwear_store,2
tile_store,2
track_stadium,2
trophy_shop,2
vegetarian_restaurant,2
video_film_production,2
watch_store,2
welding_supply_store,2
wholesaler,2
windows_installation,2
woodworking_supply_store,2
3d_printing_service,1
addiction_rehabilitation_center,1
adult_education,1
adventure_sports_center,1
after_school_program,1
aircraft_repair,1
alcohol_and_drug_treatment_center,1
altering_and_remodeling_contractor,1
ambulance_and_ems_services,1
american_football_field,1
anesthesiologist,1
appliance_manufacturer,1
appliance_repair_service,1
archery_range,1
argentine_restaurant,1
armed_forces_branch,1
audiovisual_equipment_rental,1
auto_company,1
automotive_storage_facility,1
aviation_museum,1
avionics_shop,1
awning_supplier,1
b2b_cleaning_and_waste_management,1
b2b_rubber_and_plastics,1
b2b_textiles,1
b2b_tractor_dealers,1
baby_gear_and_furniture,1
backflow_services,1
bagel_restaurant,1
barre_classes,1
bike_repair_maintenance,1
billing_services,1
biotechnology_company,1
blood_and_plasma_donation_center,1
boat_dealer,1
boat_service_and_repair,1
book_magazine_distribution,1
botanical_garden,1
boudoir_photography,1
bowling_alley,1
brokers,1
buddhist_temple,1
bus_service,1
business_storage_and_transportation,1
cabin,1
cafeteria,1
car_buyer,1
cardiovascular_and_thoracic_surgeon,1
cave,1
check_cashing_payday_loans,1
chicken_wings_restaurant,1
circus,1
cleaning_services,1
coffee_and_tea_supplies,1
coffee_roastery,1
comedy_club,1
computer_hardware_company,1
cooking_classes,1
copywriting_service,1
cosmetology_school,1
court_reporter,1
cpr_classes,1
cuban_restaurant,1
custom_cakes_shop,1
cycling_classes,1
demolition_service,1
dental_supply_store,1
designer_clothing,1
dim_sum_restaurant,1
dinner_theater,1
disc_golf_course,1
dive_shop,1
door_sales_service,1
dumpster_rentals,1
educational_supply_store,1
electric_utility_provider,1
elevator_service,1
emergency_medicine,1
emergency_room,1
endocrinologist,1
engraving,1
evangelical_church,1
eyebrow_service,1
eyelash_service,1
family_service_center,1
first_aid_class,1
fishing_charter,1
fishmonger,1
food_and_beverage_exporter,1
food_consultant,1
food_court,1
football_stadium,1
frozen_yoghurt_shop,1
fruits_and_vegetables,1
furniture_reupholstery,1
gelato,1
general_festivals,1
glass_manufacturer,1
gluten_free_restaurant,1
go_kart_club,1
golf_instructor,1
granite_supplier,1
greek_restaurant,1
guest_house,1
guitar_store,1
hair_replacement,1
halfway_house,1
hat_shop,1
hawaiian_restaurant,1
health_coach,1
health_consultant,1
health_insurance_office,1
health_market,1
hematology,1
herbal_shop,1
historical_tours,1
home_automation,1
home_organization,1
home_window_tinting,1
horse_racing_track,1
horse_riding,1
hospitalist,1
hotel_bar,1
hunting_and_fishing_supplies,1
hybrid_car_repair,1
hypnosis_hypnotherapy,1
ice_cream_and_frozen_yoghurt,1
ice_skating_rink,1
industrial_cleaning_services,1
industrial_company,1
international_restaurant,1
it_consultant,1
jewelry_and_watches_manufacturer,1
junk_removal_and_hauling,1
kickboxing_club,1
kids_recreation_and_party,1
kiosk,1
knife_sharpening,1
korean_restaurant,1
laboratory,1
lebanese_restaurant,1
lice_treatment,1
life_insurance,1
lighting_fixture_manufacturers,1
linen,1
luggage_store,1
marketing_consultant,1
mass_media,1
meat_shop,1
media_agency,1
media_news_company,1
media_news_website,1
media_restoration_service,1
mediator,1
medical_law,1
medical_research_and_development,1
medical_sciences_schools,1
merchandising_service,1
metal_supplier,1
metals,1
miniature_golf_course,1
motorcycle_manufacturer,1
motorsport_vehicle_dealer,1
movie_television_studio,1
natural_hot_springs,1
nephrologist,1
noodles_restaurant,1
observatory,1
oil_and_gas,1
oil_and_gas_field_equipment_and_services,1
opera_and_ballet,1
orthotics,1
paddleboard_rental,1
pancake_house,1
pentecostal_church,1
performing_arts,1
periodontist,1
pet_hospice,1
pet_sitting,1
pet_training,1
pets,1
petting_zoo,1
piano_services,1
piano_store,1
pizza_delivery_service,1
plastic_fabrication_company,1
plaza,1
polynesian_restaurant,1
pool_billiards,1
process_servers,1
promotional_products_and_services,1
prosthodontist,1
psychic_medium,1
public_market,1
public_plaza,1
public_relations,1
public_restrooms,1
public_utility_company,1
puerto_rican_restaurant,1
pulmonologist,1
radio_and_television_commercials,1
radiologist,1
real_estate_law,1
recreation_vehicle_repair,1
rehabilitation_center,1
religious_school,1
rock_climbing_spot,1
rv_rentals,1
sandblasting_service,1
science_museum,1
seafood_wholesaler,1
security_services,1
security_systems,1
shredding_services,1
ski_and_snowboard_shop,1
sky_diving,1
sports_school,1
spray_tanning,1
stone_and_masonry,1
stucco_services,1
sugaring,1
synagogue,1
tableware_supplier,1
taekwondo_club,1
tasting_classes,1
taxi_service,1
taxidermist,1
teeth_whitening,1
telecommunications,1
television_station,1
tenant_and_eviction_law,1
test_preparation,1
theme_restaurant,1
trailer_dealer,1
trailer_rentals,1
trains,1
transmission_repair,1
travel_company,1
utility_service,1
vegan_restaurant,1
vehicle_shipping,1
veterans_organization,1
videographer,1
volleyball_court,1
walking_tours,1
water_park,1
water_purification_services,1
water_treatment_equipment_and_services,1
waterproofing,1
whiskey_bar,1
wig_store,1
window_supplier,1
window_washing,1
wine_tasting_classes,1
writing_service,1
