Score,Grade,Action,Business,Category,Value,Need,Channel,Owner,Email,Email status,Owner email,Phone,Website,Site quality,Facebook,Instagram,Address,City,Why
94,A,Email — site dead; premium value,Lysell Plumbing & Heating,contractor,premium,site dead,email+phone,,lespetersendrilling@comcast.net,valid,,+17075761334,http://lespetersendrilling.com,dead,https://www.facebook.com/lespetersendrillingandpump/,https://instagram.com/lespetersendrilling/,1809 Sansone Dr,Santa Rosa,site dead; premium category; email+phone; active social
94,A,Email — site dead; premium value,Guardian Roofing,roofing,premium,site dead,email+phone,,guardianroofllc@gmail.com,valid,,+17078433526,http://guardianroofllc.com/,dead,https://www.facebook.com/Guardian-Roofing-LLC-105685047753554/,,2210 Dennis Ln,Santa Rosa,site dead; premium category; email+phone; active social
94,A,Email — site dead; premium value,Schafer Electric,electrician,premium,site dead,email+phone,,schaferelectric@gmail.com,valid,,+17075453300,http://www.schaferelectric.com/,dead,https://www.facebook.com/schaferelectric/,,631 Rinaldo St,Santa Rosa,site dead; premium category; email+phone; active social
94,A,Email — site dead; premium value,Morpheus Medical Aesthetics,medical_spa,premium,site dead,email+phone,,beautybymorpheus@gmail.com,valid,,+17079217447,https://morpheusmedspa.com/,dead,https://www.facebook.com/MorpheusMedSpa,https://www.instagram.com/beautybymorpheus,2800 Cleveland Ave,Santa Rosa,site dead; premium category; email+phone; active social
94,A,Email — thin/placeholder site; premium value,Supplement Creams,cosmetic_and_beauty_supplies,premium,thin/placeholder site,email+phone,SupplementCreams LLC,sidneykurn@comcast.net,valid,sidneykurn@comcast.net,+17072928732,,thin,https://www.facebook.com/supplementcreams/,http://instagram.com/supplementcreams/,6575 Oakmont Dr  Ste 10,Santa Rosa,thin/placeholder site; premium category; email+phone; owner email; owner SupplementCreams LLC; active social
94,A,Email — site dead; premium value,Redwood Concrete Pumping,contractor,premium,site dead,email+phone,,redwoodconcretepump@sonic.net,valid,,+17075381206,http://www.redwoodconcretepumping.com,dead,https://www.facebook.com/RedwoodConcretePump,,1372 Los Alamos Rd,Santa Rosa,site dead; premium category; email+phone; active social
94,A,Email — site dead; premium value,"John Owens Services, Inc.",hvac_services,premium,site dead,email+phone,,leads.johnowensservices@gmail.com,valid,,+17072032517,https://www.johnowensservices.com/,dead,https://www.facebook.com/johnowensservicesinc/,https://www.instagram.com/johnowensservices/,3471 Regional Pkwy Ste C,Santa Rosa,site dead; premium category; email+phone; active social
94,A,Email — site dead; premium value,"Alec Nelson, DDS",dentist,premium,site dead,email+phone,,doc855@sbcglobal.net,valid,,+17075462829,http://fountaingrovedental.com/contact-dentist-in-santa-rosa/,dead,https://www.facebook.com/pages/Alec-C-Nelson-DDS-PC/411216205571166,,855 Fountaingrove Pkwy,Santa Rosa,site dead; premium category; email+phone; active social
93,A,Email — thin/placeholder site; premium value,BRM Builders,contractor,premium,thin/placeholder site,email+phone,Christian Andersen,chris@brmbuild.com,valid,chris@brmbuild.com,+17074816228,http://brmbuild.com/,thin,,,1851 Piner Rd,Santa Rosa,thin/placeholder site; premium category; email+phone; owner email; owner Christian Andersen
92,A,Email — NO website; premium value,Gonnella Carpet Installation,contractor,premium,NO website,email+phone,,marygonnella@sbcglobal.net,valid,,+17075287636,,,,,1315 Hahman Dr,Santa Rosa,NO website; premium category; email+phone
