city,count
Napa,3807
Fairfield,2948
Vacaville,2619
Vallejo,2425
Benicia,1057
Dixon,535
Suisun City,439
American Canyon,357
Davis,241
Rio Vista,231
Winters,212
Yountville,156
Pittsburg,144
Rodeo,69
Crockett,59
Isleton,56
Oakville,24
Travis Air Force Base,22
NAPA,21
FAIRFIELD,20
Saint Helena,17
St Helena,14
Bay Point,13
Travis AFB,13
VACAVILLE,13
Sonoma,12
Port Costa,11
Walnut Grove,11
Rutherford,8
Sacramento,8
Solano County,8
Bethel Island,7
VALLEJO,7
Elmira,5
Napa County,5
Travis Afb,5
AMERICAN CANYON,4
BENICIA,4
Suisun,4
Martinez,3
SUISUN CITY,3
American-Canyon,2
Benecia,2
DIXON,2
Napa Valley,2
"Napa, CA, US",2
San Francisco,2
Santa Rosa,2
St. Helena,2
"Vallejo, CA, US",2
fairfield,2
vacaville,2
#109,1
American Cyn,1
Antelope,1
Antioch,1
Arbuckle,1
Arcadia,1
BAY POINT,1
Bakersfield,1
Batavia,1
Bayfield,1
Berkeley,1
Birds Landing,1
Calistoga,1
Carmichael,1
Carson,1
Chambersburg,1
City of Napa,1
Clarksburg,1
Concord,1
Cordelia,1
East Fairfield,1
Edison,1
El Cerrito,1
Galveston,1
Gilroy,1
Grass Valley,1
Hercules,1
Lancaster,1
Las Vegas,1
Mare Island,1
Melbourne,1
Naperville,1
Norton,1
Novato,1
Oakley,1
Omaha,1
Palmer,1
Petaluma,1
Pleasant Hill,1
RIO VISTA,1
Red Bluff,1
Richmond,1
Rio vista,1
Rocklin,1
Santa Barbara,1
Seattle,1
Stuart,1
Suisun-City,1
Sámara,1
"Vacaville, CA, US",1
Valejo,1
Vallejo CA,1
Vavaville,1
Walnut Creek,1
West Sacramento,1
Willows,1
Wilton,1
Winchester,1
Woodinville,1
Woodland,1
"Yountville, CA, US",1
napa,1
sacramento,1
