niche,count
winery,601
real_estate_agent,541
church_cathedral,287
beauty_salon,262
automotive_repair,230
mexican_restaurant,181
hair_salon,175
community_services_non_profits,173
dentist,163
professional_services,151
contractor,143
restaurant,140
gym,120
nail_salon,118
barber,112
doctor,95
farm,94
real_estate,94
elementary_school,93
insurance_agency,90
home_service,87
liquor_store,86
medical_center,78
grocery_store,73
public_and_government_association,72
hotel,71
building_supply_store,70
art_gallery,69
wine_bar,68
apartments,67
event_planning,67
hvac_services,67
landscaping,67
retirement_home,67
spas,67
clothing_store,66
day_care_preschool,66
auto_insurance,65
college_university,65
american_restaurant,64
car_dealer,64
bakery,63
gas_station,63
jewelry_store,62
cafe,60
financial_service,60
religious_organization,60
flowers_and_gifts_shop,59
preschool,59
retail,57
counseling_and_mental_health,56
martial_arts_club,56
tattoo_and_piercing,56
mortgage_lender,55
plumbing,53
beauty_and_spa,51
chinese_restaurant,51
coffee_shop,51
hospital,51
shoe_store,51
social_service_organizations,51
automotive,50
bar,50
mortgage_broker,50
property_management,50
self_storage_facility,50
auto_body_shop,49
health_and_medical,49
pizza_restaurant,49
construction_services,48
veterinarian,47
furniture_store,45
industrial_equipment,45
school,45
massage_therapy,44
resort,44
chiropractor,43
italian_restaurant,43
used_car_dealer,43
electrician,42
general_dentistry,42
gift_shop,41
home_health_care,41
lawyer,41
shopping,41
womens_clothing_store,41
pet_services,40
pharmacy,40
barbecue_restaurant,39
convenience_store,39
corporate_office,38
home_cleaning,38
massage,38
printing_services,38
antique_store,37
high_school,37
roofing,37
legal_services,36
tobacco_shop,36
brewery,35
sporting_goods,35
travel,35
atms,34
bank_credit_union,34
baptist_church,34
laundromat,34
optometrist,34
painting,34
burger_restaurant,33
dance_school,33
pet_store,33
storage_facility,33
trusts,33
builders,32
freight_and_cargo_service,32
mobile_home_park,32
pet_groomer,32
thai_restaurant,32
tire_dealer_and_repair,32
campus_building,31
cosmetic_and_beauty_supplies,31
auto_detailing,30
boutique,30
towing_service,30
car_wash,29
emissions_inspection,29
skin_care,29
accountant,28
active_life,28
auto_parts_and_supply_store,28
day_spa,28
electronics,28
employment_agencies,28
fast_food_restaurant,28
food_truck,28
mobile_phone_store,28
physical_therapy,28
venue_and_event_space,28
yoga_studio,28
arts_and_entertainment,27
hardware_store,27
arts_and_crafts,26
assisted_living_facility,26
cannabis_dispensary,26
fashion_accessories_store,26
fire_department,26
it_service_and_computer_repair,26
naturopathic_holistic,26
thrift_store,26
tree_services,26
breakfast_and_brunch_restaurant,25
community_center,25
education,25
event_photography,25
garbage_collection_service,25
library,25
public_service_and_government,25
tours,25
walk_in_clinic,25
accommodation,24
ice_cream_shop,24
medical_spa,24
shopping_center,24
baseball_field,23
caterer,23
sushi_restaurant,23
attractions_and_activities,22
farmers_market,22
interior_design,22
amusement_park,21
business,21
carpet_store,21
flooring_store,21
sandwich_shop,21
seafood_restaurant,21
sports_and_recreation_venue,21
tax_services,21
tire_shop,21
