city,count
Santa Rosa,7406
Petaluma,2712
Novato,1782
Sonoma,1460
Sebastopol,1122
Rohnert Park,1100
Healdsburg,1071
Windsor,673
Calistoga,385
St Helena,379
Cotati,368
Saint Helena,335
Cloverdale,269
Guerneville,231
Middletown,182
Yountville,149
Geyserville,123
Glen Ellen,121
Forestville,108
Bodega Bay,103
Napa,101
Gualala,97
Penngrove,97
Point Reyes Station,94
Hidden Valley Lake,86
Angwin,84
Kenwood,78
Occidental,67
SANTA ROSA,48
Monte Rio,46
St. Helena,44
Cazadero,41
Santa-Rosa,41
Cobb,40
Fulton,36
Graton,34
Jenner,34
Inverness,33
The Sea Ranch,29
Nicasio,28
Oakville,27
Tomales,27
Marshall,24
Rutherford,24
Bodega,22
Duncans Mills,17
PETALUMA,17
Pope Valley,15
SEBASTOPOL,12
Valley Ford,12
Dillon Beach,11
NOVATO,11
ROHNERT PARK,10
Sonoma County,9
Rohnert-Park,7
WINDSOR,7
Napa County,6
SONOMA,6
Annapolis,5
Camp Meeker,5
Deer Park,5
San Rafael,5
santa rosa,5
Freestone,4
San Francisco,4
HEALDSBURG,3
Larkfield,3
Rio Nido,3
Stewarts Point,3
Eldridge,2
Lower Lake,2
Marin County,2
OCCIDENTAL,2
"Rohnert Park, CA, US",2
SAINT HELENA,2
"Santa Rosa,",2
Santa rosa,2
"Sebastopol, CA, US",2
#StHelena,1
869 Grant ave.,1
Agua Caliente,1
Alts De Santa Barbara,1
Arlington,1
Austin,1
Berkeley,1
Birdsboro,1
Boyes Hot Springs,1
Bridgehaven,1
CALISTOGA,1
COTATI,1
Calistago,1
Chalfont,1
Charleston,1
Clearlake Oaks,1
Contra Costa County,1
Coverdale,1
Del Sur,1
Downey,1
East Petaluma,1
Fairfax,1
GUALALA,1
Greenbrae,1
Gurenville,1
Jimtown,1
Lake County,1
Lakeport,1
Larkfield-Wikiup,1
Larkspur,1
Las Lomas,1
Los Angeles,1
MIDDLETOWN,1
Marin,1
Mercuryville,1
New York,1
"Novato, CA",1
Oakland,1
Palm Springs,1
"Petaluma, CA, US",1
Petuluma,1
Philo,1
Plymouth,1
Point Reyes,1
Pt Reyes Sta,1
Pt. Reyes Station,1
Rajshahi,1
Redding,1
Rohnert park,1
Sacramento,1
San Pablo,1
"Santa Rosa, Bennett Valley",1
"Santa Rosa, CA, US",1
Sea Ranch,1
Sea ranch,1
Sebastopol- inside Lashey Lady Studio,1
Simi Valley,1
"Sonoma, CA, US",1
South Lake Tahoe,1
South San Francisco,1
"St Helena,",1
"St. Helena, CA, US",1
Sunnyside,1
THE SEA RANCH,1
Turlock,1
Ukiah,1
Valeey Ford,1
Vallejo,1
Venice,1
Villa Grande,1
Waco,1
Warwick,1
White Haven,1
Woodleaf,1
"Yountville, CA, US",1
bodega bay,1
guerneville,1
novato,1
sonoma,1
