niche,count
winery,1242
real_estate_agent,690
beauty_salon,291
automotive_repair,249
hair_salon,235
community_services_non_profits,232
restaurant,228
contractor,221
doctor,219
church_cathedral,213
professional_services,193
farm,184
dentist,173
mexican_restaurant,171
gym,161
financial_service,142
hotel,139
flowers_and_gifts_shop,135
real_estate,133
insurance_agency,132
medical_center,125
art_gallery,121
nail_salon,121
american_restaurant,116
bakery,112
elementary_school,112
spas,109
cafe,107
coffee_shop,104
building_supply_store,103
grocery_store,101
plumbing,100
clothing_store,98
hvac_services,97
event_planning,95
retirement_home,92
holiday_rental_home,91
retail,91
bed_and_breakfast,87
liquor_store,87
wine_bar,87
massage,84
mortgage_lender,84
chiropractor,83
apartments,82
public_and_government_association,82
auto_insurance,81
counseling_and_mental_health,80
home_service,80
lawyer,80
landscaping,78
property_management,78
electrician,77
antique_store,74
mortgage_broker,74
pizza_restaurant,73
massage_therapy,72
bar,70
beauty_and_spa,70
furniture_store,70
naturopathic_holistic,70
barber,68
corporate_office,68
preschool,68
jewelry_store,67
construction_services,65
cardiologist,63
gift_shop,62
self_storage_facility,62
italian_restaurant,61
nursery_and_gardening,61
gas_station,60
school,59
advertising_agency,58
farmers_market,58
skin_care,58
legal_services,57
brewery,56
general_dentistry,56
campground,55
martial_arts_club,55
painting,55
religious_organization,55
hospital,54
arts_and_entertainment,52
college_university,52
health_and_medical,52
veterinarian,52
active_life,50
arts_and_crafts,50
dance_school,50
education,50
electronics,50
womens_clothing_store,50
auto_body_shop,49
printing_services,49
boutique,48
resort,48
yoga_studio,48
acupuncture,47
ice_cream_shop,47
marketing_agency,47
accountant,46
bank_credit_union,46
industrial_equipment,46
interior_design,46
medical_spa,46
pet_store,46
roofing,46
shopping_center,46
tattoo_and_piercing,46
car_dealer,45
day_care_preschool,45
divorce_and_family_law,45
home_health_care,45
automotive,44
pet_groomer,44
shopping,44
social_service_organizations,43
day_spa,42
internal_medicine,42
used_car_dealer,42
accommodation,41
chinese_restaurant,41
obstetrician_and_gynecologist,41
thai_restaurant,40
travel,40
financial_advising,39
home_improvement_store,39
shoe_store,39
caterer,38
fire_department,38
home_cleaning,38
physical_therapy,38
public_service_and_government,38
high_school,37
it_service_and_computer_repair,37
thrift_store,37
assisted_living_facility,36
convenience_store,36
laundromat,36
optometrist,36
sports_and_recreation_venue,36
cosmetic_dentist,35
mobile_home_park,35
orthopedist,35
freight_and_cargo_service,34
seafood_restaurant,34
sporting_goods,34
venue_and_event_space,34
cosmetic_and_beauty_supplies,33
delicatessen,33
hardware_store,33
pet_services,33
pharmacy,33
sushi_restaurant,33
trusts,33
skate_park,32
