id,name,category,alt_categories,phone,phone_fmt,area_code,phones_all,email,email_owned,website,websites_all,socials,social_platforms,best_contact,address,city,state,zip,country,lat,lon,tier,tier_reason,builder,industry_fit,outreach_score,score,completeness,confidence,is_chain,pitch,source_dataset,source_id
7b6de4f3-073c-4fb4-ba7d-b8934311abf9,AAU Tax Preparation Service,accountant,trusts|financial_service,+17076434112,(707) 643-4112,707,+17076434112,aau123@hotmail.com,0,,,https://www.facebook.com/747416105390631,facebook,phone,1810 Mini Dr,Vallejo,CA,94589-1413,US,38.15190124511719,-122.26168823242188,A,No website,,high,100,97,100,0.6827100515365601,0,"Hi, I came across AAU Tax Preparation Service in Vallejo and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",meta,747416105390631
989637ad-6f2e-45a7-a6da-cf083fa8e4be,Doud Bookkeeping & Tax Service,accountant,trusts|financial_service,+17072559144,(707) 255-9144,707,+17072559144,doudbkpg@aol.com,0,,,https://www.facebook.com/151725134869007,facebook,phone,1732 Jefferson St,Napa,CA,94559-1737,US,38.30340576171875,-122.2937240600586,A,No website,,high,100,99,100,0.9199122190475464,0,"Hi, I came across Doud Bookkeeping & Tax Service in Napa and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",meta,151725134869007
28a7771c-6302-4eb3-b76e-a1b978f917d1,Hernandez Bookkeeping and Income Tax Services LLC,accountant,financial_service|trusts,+17072658173,(707) 265-8173,707,+17072658173,lillyhn9@gmail.com,0,http://liliahernandezbookkeepining.business.site/,http://liliahernandezbookkeepining.business.site/,https://www.facebook.com/1848834008725371,facebook,phone,1941 Jefferson St,Napa,CA,94559-1216,US,38.30528259277344,-122.2950210571289,B,DIY builder site (Google Business) - upsell to custom,Google Business,high,100,84,100,0.9199122190475464,0,"Hi, I found Hernandez Bookkeeping and Income Tax Services LLC in Napa and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",meta,1848834008725371
5bf9ffc1-128a-48d4-8e30-dc919661055c,Lara's Income Tax,accountant,financial_service,+17073058764,(707) 305-8764,707,+17073058764,emiliolara5@outlook.com,0,,,https://www.facebook.com/108411504086339,facebook,phone,100 American Canyon Rd,American Canyon,CA,94503,US,38.16602325439453,-122.25414276123047,A,No website,,high,100,99,100,0.9199122190475464,0,"Hi, I came across Lara's Income Tax in American Canyon and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for American Canyon businesses and can send a free mockup.",meta,108411504086339
198eee55-a76f-410a-9427-35c7b3360b81,"Layman's Tax Service, Inc.",accountant,trusts|financial_service,+15107588299,(510) 758-8299,510,+15107588299,laymanstax@yahoo.com,0,http://www.twitter.com/Laymans_Tax,http://www.twitter.com/Laymans_Tax,https://www.facebook.com/411957417817,facebook,phone,109 Camino Dorado,Napa,CA,94558-6213,US,38.230159759521484,-122.25633239746094,A,Social/listing only - no owned site,,high,100,97,100,0.6540856957435608,0,"Hi, I came across Layman's Tax Service, Inc. in Napa and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",meta,411957417817
2a6d1c1c-4d6a-4ebf-b027-16f9d5e43ca2,Michael Pettersen Bookkeeping & Tax,accountant,financial_service|professional_services,+17074229744,(707) 422-9744,707,+17074229744,michaelpettersenea@gmail.com,0,,,https://www.facebook.com/287014124758311,facebook,phone,2333 Courage Dr,Fairfield,CA,94533-6715,US,38.23499298095703,-122.07451629638672,A,No website,,high,100,99,100,0.9199122190475464,0,"Hi, I came across Michael Pettersen Bookkeeping & Tax in Fairfield and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",meta,287014124758311
02e37c3a-a2bc-4a6c-927b-b00787ddb109,TaxAce Academy,accountant,financial_service|professional_services,+17075571040,(707) 557-1040,707,+17075571040,nataly@taxaceacademy.com,0,,,https://www.facebook.com/107567695276411,facebook,phone,3329 N Texas St,Fairfield,CA,94533-9700,US,38.28883361816406,-122.034423828125,A,No website,,high,100,99,100,0.8762523531913757,0,"Hi, I came across TaxAce Academy in Fairfield and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",meta,107567695276411
7d34cc61-61c2-4f40-8f99-cf47d427219a,Robert C. Wright,acupuncture,hospital|chinese_restaurant,+17072555124,(707) 255-5124,707,+17072555124,,0,,,https://www.facebook.com/1200386246658429,facebook,phone,935 Trancas St,Napa,CA,94558-2932,US,38.3229866027832,-122.2948226928711,A,No website,,high,100,79,83,0.436673104763031,0,"Hi, I came across Robert C. Wright in Napa and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",meta,1200386246658429
e722dfe1-e4e3-4279-ad69-3d8595d67726,The Wellness Principle,acupuncture,naturopathic_holistic|health_and_medical,+17074180010,(707) 418-0010,707,+17074180010,,0,,,https://www.facebook.com/346463802530255,facebook,phone,2180 Jefferson St,Napa,CA,94559-1200,US,38.306949615478516,-122.29508209228516,A,No website,,high,100,83,83,0.7512578368186951,0,"Hi, I came across The Wellness Principle in Napa and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",meta,346463802530255
601c745d-4a9f-41fa-9965-e172b8b66b90,Winters Acupuncture Clinic,acupuncture,naturopathic_holistic|health_and_medical,+15307953429,(530) 795-3429,530,+15307953429,kristinlakoma@gmail.com,0,,,https://www.facebook.com/123069674429206,facebook,phone,101 E Grant Ave,Winters,CA,95694-1761,US,38.5267219543457,-121.9668960571289,A,No website,,high,100,99,100,0.9199122190475464,0,"Hi, I came across Winters Acupuncture Clinic in Winters and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Winters businesses and can send a free mockup.",meta,123069674429206
9326c121-0ff8-4bfd-89fe-cf4a6fb77e5a,"JayBaba's Kitchen, Home of Authentic African-Ghanaian Cuisines",african_restaurant,restaurant|diner,+12629942645,(262) 994-2645,262,+12629942645,,0,,,https://www.facebook.com/106515601800202,facebook,phone,N Texas St,Fairfield,CA,94533,US,38.27312469482422,-122.03423309326172,A,No website,,high,100,77,83,0.20598460733890533,0,"Hi, I came across JayBaba's Kitchen, Home of Authentic African-Ghanaian Cuisines in Fairfield and noticed you don't have a website yet — for a african restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",meta,106515601800202
a2576b4e-a6ab-447b-b1cd-2ece54a8ef39,Golden Churro,american_restaurant,ice_cream_shop|restaurant,+17078125466,(707) 812-5466,707,+17078125466,oscarchicatti@yahoo.com,0,,,https://www.facebook.com/1212958252115726,facebook,phone,195 Gasser Dr,Napa,CA,94559-4044,US,38.28288650512695,-122.2800521850586,A,No website,,high,100,99,100,0.8891355395317078,0,"Hi, I came across Golden Churro in Napa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",meta,1212958252115726
4f2811da-c2a2-47a7-85a0-370650810f47,Gravy Robbers,american_restaurant,diner|breakfast_and_brunch_restaurant,+15038968418,(503) 896-8418,503,+15038968418,,0,,,https://www.facebook.com/220555924623157,facebook,phone,2509 SW 7th Ave,Vallejo,CA,97209,US,38.084251403808594,-122.23594665527344,A,No website,,high,100,82,83,0.7195086479187012,0,"Hi, I came across Gravy Robbers in Vallejo and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",meta,220555924623157
f76e1507-846c-4fd0-ad1e-ef52ea32ef26,Joy of Eating Cafe,american_restaurant,,(707) 426-1147,(707) 426-1147,707,(707) 426-1147,,0,,,https://www.facebook.com/468856343166759,facebook,phone,535 Solano St,Suisun City,CA,94585,US,38.23814392089844,-122.03974151611328,A,No website,,high,100,83,83,0.77,0,"Hi, I came across Joy of Eating Cafe in Suisun City and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Suisun City businesses and can send a free mockup.",Foursquare,4bbf5ed6b083a593234ca3e9
ea12ed1c-49dd-497d-bf4a-bd92760030c2,North Napa BBQ,american_restaurant,,(707) 253-2859,(707) 253-2859,707,(707) 253-2859,,0,,,https://www.facebook.com/111460952249759,facebook,phone,4084 Byway E,Napa,CA,94558,US,38.333866119384766,-122.31906127929688,A,No website,,high,100,84,83,0.9406141638755798,0,"Hi, I came across North Napa BBQ in Napa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",Foursquare,5cc070b404d1ae002c69aba5
f0cc4236-f3d7-4663-917a-2ec3d88cd4ef,Raul's Striper Cafe,american_restaurant,cafe|restaurant,+17073744861,(707) 374-4861,707,+17073744861,,0,http://web.facebook.com/pages/Raul's%20Striper%20Cafe/108418785887159,http://web.facebook.com/pages/Raul's%20Striper%20Cafe/108418785887159,https://www.facebook.com/108418785887159,facebook,phone,210 Main St,Rio Vista,CA,94571,US,38.15690612792969,-121.69176483154297,A,Social/listing only - no owned site,,high,100,84,83,0.9358023405075073,0,"Hi, I came across Raul's Striper Cafe in Rio Vista and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Rio Vista businesses and can send a free mockup.",meta,108418785887159
f61fd1f7-a172-477d-a6f0-089aa23c7156,Striper Cafe,american_restaurant,,(707) 374-4861,(707) 374-4861,707,(707) 374-4861,,0,,,https://www.facebook.com/108418785887159,facebook,phone,210 Main St,Rio Vista,CA,94571,US,38.15687561035156,-121.69169616699219,A,No website,,high,100,83,83,0.77,0,"Hi, I came across Striper Cafe in Rio Vista and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Rio Vista businesses and can send a free mockup.",Foursquare,4c4c7c79c668e21e758796fb
