rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
1,100,A,high,SacsTax and Bookkeeping,accountant,Clearlake,(707) 994-7227,sacstax@me.com,No real website; high-fit niche; has phone + email,"Hi, I came across SacsTax and Bookkeeping in Clearlake and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,d7222ca0-6787-4770-9e3f-5fd6102918b0
2,100,A,high,A New Day Herbal Center,acupuncture,Clearlake Oaks,(707) 998-3515,,No real website; high-fit niche; has phone,"Hi, I came across A New Day Herbal Center in Clearlake Oaks and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake Oaks businesses and can send a free mockup.",,f4bc1ec6-5009-4e52-9980-92f2a849cf58
3,100,A,high,Healing House,acupuncture,Lakeport,(415) 264-0685,,No real website; high-fit niche; has phone,"Hi, I came across Healing House in Lakeport and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,88698ac2-5fa9-484d-a479-fc7115bf103c
4,100,A,high,Bibs Treasures,antique store,Clearlake,(707) 530-1457,bibstreasures@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Bibs Treasures in Clearlake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,17cc11d1-c388-4683-bd70-0169c29130bc
5,100,A,high,Elegant Bowl,antique store,Upper Lake,(707) 275-9293,,No real website; high-fit niche; has phone,"Hi, I came across Elegant Bowl in Upper Lake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",,c0b1994d-48be-4fdf-988d-de6fd0158c2d
6,100,A,high,Flying Antiques,antique store,Nice,(707) 900-8537,flyingantiques@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Flying Antiques in Nice and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Nice businesses and can send a free mockup.",,25c14843-bf5a-418f-9624-698b3c637d0b
7,100,A,high,Gin' Gilli's Vintage Home Antiques,antique store,Geyserville,(707) 857-3509,gingillis.elisa@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Gin' Gilli's Vintage Home Antiques in Geyserville and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Geyserville businesses and can send a free mockup.",,30f286f1-e2a6-45ce-9aa4-424a24fcf315
8,100,A,high,Last chance,antique store,Upper Lake,(707) 671-2365,,No real website; high-fit niche; has phone,"Hi, I came across Last chance in Upper Lake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",,c31fa347-68c3-49c9-abc4-e066201994c7
9,100,A,high,Middletown Antiques,antique store,Middletown,(707) 987-2633,,No real website; high-fit niche; has phone,"Hi, I came across Middletown Antiques in Middletown and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,b13466b9-50fa-4304-a6b9-5ee14c2e6d83
10,100,A,high,The Hidden Gem,antique store,Lakeport,(707) 263-3400,,No real website; high-fit niche; has phone,"Hi, I came across The Hidden Gem in Lakeport and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,c68e53c2-ab60-49e1-b0d1-7db5d83321cc
11,100,A,high,CARS Auto Body,auto body shop,Lakeport,(707) 263-9035,carsautobody48@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across CARS Auto Body in Lakeport and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,323e663f-5d36-4674-afa7-d2e139427402
12,100,A,high,All N One Detailing,auto detailing,Cloverdale,(707) 955-4494,allnonekustomzncollision@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across All N One Detailing in Cloverdale and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,d703673a-f781-4a0c-b120-c11af937c87d
13,100,A,high,BKG Detail & Ceramic Coating,auto detailing,Clearlake,(415) 375-1684,bkgdetail@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across BKG Detail & Ceramic Coating in Clearlake and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,e340fa6c-d930-42a8-904f-40efbc697bff
14,100,A,high,Drinnon's Detail Shop,auto detailing,Clearlake,(707) 245-3339,,No real website; high-fit niche; has phone,"Hi, I came across Drinnon's Detail Shop in Clearlake and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,abe7abde-5ba3-43fa-92c1-b7414b62f253
15,100,B,high,Merlin's Magic Mobile Detailing,auto detailing,Clearlake,(707) 850-6177,smithf794@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Merlin's Magic Mobile Detailing in Clearlake and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://merlins-magic-mobile-detailing.business.site/?utm_source=gmb&utm_medium=referral,d8832951-5d9e-43a6-b50f-1d47e1bc9e7e
16,100,A,high,Cruz Detailing,automotive,Clearlake,(707) 413-8050,,No real website; high-fit niche; has phone,"Hi, I came across Cruz Detailing in Clearlake and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,a33a3f13-ad6b-4177-b10a-af50c2ba6d1e
17,100,A,high,Winding road motors,automotive,Clearlake,(707) 206-2230,,No real website; high-fit niche; has phone,"Hi, I came across Winding road motors in Clearlake and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,ad82f55d-e739-4d04-b42e-ead0e8839178
18,100,A,high,All-Out Audio,automotive parts and accessories,Lakeport,(707) 900-5069,,No real website; high-fit niche; has phone,"Hi, I came across All-Out Audio in Lakeport and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,e41515a4-7545-4062-90af-194fb8015050
19,100,A,high,Medieval Motorsports,automotive parts and accessories,Lakeport,(707) 533-9848,,No real website; high-fit niche; has phone,"Hi, I came across Medieval Motorsports in Lakeport and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,302e6295-6227-4238-8e67-1df009deaa9e
